depot,truck,timestamp,speed,distance,socpercent,chargingstatus,ignitionstatus,energytype,accumulatedkwh
Performance Team (Commerce),VNR 1,2023-09-11 14:58:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:01:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:01:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:03:39+00,4.9720323182100685,0.094606726,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:03:39+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:04:22+00,16.159105034182723,0.1261998480767903,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:04:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:07:22+00,0,0.4039776258545681,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:07:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:10:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:10:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:13:22+00,26.10316967060286,0.6525792417650715,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:13:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:16:22+00,6.836544437538844,0.8234928527035426,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:16:22+00,NULL,NULL,93,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:19:22+00,16.78060907395898,0.5904288377874457,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:19:22+00,NULL,NULL,93,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:19:22+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.78
Performance Team (Commerce),VNR 1,2023-09-11 15:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 15:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.22
Performance Team (Commerce),VNR 1,2023-09-11 15:19:22+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.74
Performance Team (Commerce),VNR 1,2023-09-11 15:22:22+00,0,0.4195152268489746,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:22:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:25:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:25:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:28:22+00,8.701056557,0.2175264139216905,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 15:28:22+00,NULL,NULL,92,NULL,NULL,NULL,NULL
